"","preference_1_rmse","preference_2_rmse","preference_3_rmse","preference_4_rmse","preference_5_rmse","preference_6_rmse","preference_7_rmse","preference_8_rmse","preference_3_hybrid_rmse","preference_3_hybrid_w_rmse"
"X3.9800713",0.794883552032631,0.794760346704302,0.802987754998298,0.792829651290353,0.795759730553657,0.793021753161704,0.804110946401026,0.751439130001702,0.401431495394138,0.321526122203036
"X10.061784",3.44400905024943,3.44065177558552,3.21515161698006,3.50343008300284,3.4188709712184,3.46829213717036,3.21128170343034,3.19940171447903,1.61358019587322,1.3015676402528
"X4.0.1",0,0,0,0,0,0,0,0,0,0
"X4.0.2",0,0,0,0,0,0,0,0,0,0
