"","preference_1_rmse","preference_2_rmse","preference_3_rmse","preference_4_rmse","preference_5_rmse","preference_6_rmse","preference_7_rmse","preference_8_rmse","preference_3_hybrid_rmse","preference_3_hybrid_w_rmse"
"svdPref",2.24187231014544,1.40176311689512,1.29473762404816,1.6725560975173,1.40304347439682,1.41871084295866,1.28899573420623,1.30103836786055,1.11356562860418,1.0980073457808
"svdPlusPlusPref",3.49027940603948,3.02185088483202,2.85481921012371,3.04126566137169,3.04035936633765,3.03116978776172,2.86125315189238,2.80583735648555,1.65713768901499,1.46044177866949
"userPref",4.77028938556425,1.09496615328921,1.09484599146589,1.09525770411192,1.09419381294604,1.09442166824764,1.04729881772339,1.04968956300042,1.09485367729575,1.09485367520634
"itemPref",4.4641732287857,1.33607520742693,1.33607520742693,1.33608407912734,1.33608407912734,1.33608407912734,1.28997166386684,1.28997166386684,1.14895824982682,1.12815127394925
