"","numFeatures","lambda","numIterations"
"1",2.24187231014544,1.6725560975173,1.40304347439682
"2",1.40176311689512,2.24187231014544,2.24187231014544
"3",1.29473762404816,1.40176311689512,1.40176311689512
"4",1.6725560975173,1.40304347439682,1.29473762404816
"5",1.40304347439682,1.41871084295866,1.6725560975173
"6",1.41871084295866,1.29473762404816,1.48145404608035
"7",1.48145404608035,1.11356562860418,1.11356562860418
"8",1.11356562860418,1.0980073457808,1.0980073457808
"9",1.0980073457808,1.48145404608035,1.41871084295866
"10",1.07811131500843,1.07811131500843,1.07811131500843
